Meadow	Acer_sp.	AchiMill	AgroCani	AgroCapi	AgroStol	AjugRept	AlchCrin	AlchGlab	AlchVulg	AlnuGlut	AlnuInca	AnemNemo	AngeSylv	AnthOdor	Betu_sp.	BlysComp	BrizMedi	BromErec	CalaEpig	CaltPalu	CardAmar	CardPrat	CarpBetu	CarxDemi	CarxDist	CarxEchi	CarxFlac	CarxFlav	CarxHirt	CarxNigr	CarxPall	CarxPani	CarxPncl	CarxTome	CentJace	CirsPalu	CirsRivu	ColchAut	CrepPalu	CrucGlab	DactFuch	DactGlom	DactInca	DactMaja	DantDecu	DeschCes	DrosRotu	EleoQUin	EpilPalu	EpilParv	EpipPalu	EquiArve	EquiFluv	EquiPalu	EquiSylv	EquiTelm	ErioAngu	ErioLati	EupaCann	EuphOffi	FestPrat	FestRubr	FiliUlma	FraxExce	GaliAlbu	GaliPalu	GaliUlig	GymnCono	HolcLana	HypeMacu	HypeTetr	JuncArti	JuncBulb	JuncCong	JuncEffu	JuncInfl	LathPrat	LeonHisp	LeucVulg	LinuCath	ListOvat	LotuCorn	LotuPedu	LuzuCamp	LuzuMult	LychFlos	LycoEuro	LysiNemo	LysiNumm	LysiVulg	LythSali	MentArve	MentLong	MoliArun	MyosNemo	NardStri	ParnPalu	PediSylv	PiceAbie	PlanLanc	PoaTriv 	PolyAmar	PolyVulg	PoteErec	PrimElat	PrunVulg	RanuAcri	RanuFlam	RanuRepe	RhinMino	RumxAcet	SalxCine	SangOffi	ScirSylv	SuccPrat	Tarx_Pal	TrifPrat	TrigPalu	TussFarf	ValeDioi	ValeSimp	ViciCrac	ViolPalu
S31     	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	0	0	0	6	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	5	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	3	0	2	0	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
S32     	0	2	2	2	0	0	5	0	2	0	0	0	0	2	2	2	2	0	0	0	0	0	0	0	0	0	0	3	0	6	0	5	0	0	0	2	2	0	2	0	0	0	0	5	0	0	0	0	0	0	5	3	0	5	0	0	2	6	0	1	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	0	5	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	5	0	0	0	3	0	3	3	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0
S33     	0	0	3	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	2	0	3	0	0	0	6	0	6	0	0	0	3	0	0	2	0	2	0	0	0	0	0	3	0	0	0	0	6	2	0	3	0	2	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	1	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
S34     	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6	0	5	0	0	0	3	0	6	0	0	0	2	0	0	2	0	2	0	0	0	0	0	6	0	1	0	0	5	0	0	3	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	0	2	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
S35     	0	0	3	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	2	0	0	0	2	0	3	0	0	0	5	0	3	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	6	0	0	0	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	2	0	0	0	6	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
S36     	0	0	5	0	0	0	0	0	0	0	2	0	1	3	1	0	2	0	0	0	0	0	0	3	0	0	0	0	0	5	0	6	0	0	0	2	0	0	0	0	0	0	0	2	2	0	5	0	2	0	0	0	3	0	0	0	7	0	0	0	0	3	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	2	0	2	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
S37     	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	7	0	0	2	0	6	0	0	5	0	2	2	0	2	0	2	0	2	0	0	0	0	0	0	0	2	2	0	0	0	7	3	2	0	0	2	0	0	2	0	0	0	2	0	0	3	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	0	0	2	0	5	0	0	2	2	0	0	0	0
S38     	0	1	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	2	0	0	7	0	6	0	0	0	0	3	2	5	3	0	0	0	2	0	0	0	0	0	0	0	0	0	6	0	0	2	0	1	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	5	0	0	2	0	0	0	0	0	5	2	0	0	0	0	0	0	2	2	0
S39     	0	0	0	0	0	2	0	0	0	0	0	3	0	2	0	2	3	0	0	0	0	0	1	0	0	5	2	3	0	3	0	7	0	0	2	0	6	0	0	2	0	0	0	2	0	0	0	0	0	0	5	2	3	0	0	0	5	6	0	0	0	3	0	0	2	0	0	0	0	0	0	2	0	0	2	0	0	2	2	1	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	2	2	5	2	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0
S40     	0	0	0	0	3	2	0	2	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	5	0	3	2	7	0	0	0	0	3	2	2	2	1	0	0	2	0	0	0	0	0	0	0	0	0	7	0	0	0	7	0	0	0	5	2	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0	2	2	0	2	0	0	0	0	0	3	0	0	0	0	2	2	0	5	1	0
S41     	0	0	2	0	0	2	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	2	0	7	0	0	0	2	3	2	1	2	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	2	0	0
S42     	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	2	1	1	0	2	0	6	0	3	0	6	0	6	0	0	0	3	0	0	2	0	0	0	0	2	0	0	2	2	2	0	0	2	2	0	0	0	5	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	2	0	2	0	0	2	0	2	0	2	2	1	0	1	0	0	0	1	0	1	0	0	1	3	0	5	0	0	0	0	1	3	0	5	2	2	0	0	0	0	0	0	2	0	0	0	0	0	2	0	3
S43     	0	0	5	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
S44     	0	0	2	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
