Site ID	Agongrat	Agonplac	Agonretr	Agonsord	Agonsupe	Amarlitt	Amarluni	Badiobtu	Bembgrap	Bembrupi	Calaadve	Calaingr	Calofrig	Caracham	Dichcogn	Elapamer	Elaplapp	Harpfulv	Loripili	Miscarct	Nebrgyll	Notibore	Notidire	Patrfove	Patrsept	Platdece	Platmann	Pteradst	Pterbrev	Pterhaem	Pterpens	Pterpunc	Pterripa	Seriquad	Synuimpu	Trecapic	Trecchal
54	0	0	0.0208333333333333	0	0	0	0	0	0	0	0	0.0166666666666667	0	0	0	0	0	0	0	0	0	0	0	0.00416666666666667	0	0	0	0.00833333333333333	0.00416666666666667	0.0208333333333333	0	0.00416666666666667	0	0	0	0	0
55	0.00392156862745098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00784313725490196	0	0.00392156862745098	0	0	0	0	0
56	0	0	0	0	0	0	0	0	0	0	0.00392156862745098	0	0	0.00392156862745098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0588235294117647	0	0.00784313725490196	0	0	0	0	0
57	0	0	0.00392156862745098	0	0	0	0	0	0	0	0.0117647058823529	0.00784313725490196	0	0.0117647058823529	0	0	0	0	0	0	0	0	0	0.00784313725490196	0	0.0313725490196078	0	0.0117647058823529	0.00784313725490196	0.0352941176470588	0	0.0235294117647059	0	0	0	0	0
58	0.00716845878136201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010752688172043	0	0	0.014336917562724	0	0	0	0	0
59	0	0	0.0315789473684211	0	0	0	0	0	0	0	0.00701754385964912	0.0350877192982456	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00701754385964912	0	0.0245614035087719	0	0	0	0	0	0	0	0	0
60	0	0	0.0385964912280702	0	0	0	0	0.00350877192982456	0	0	0	0.0280701754385965	0	0	0	0	0	0	0	0	0	0	0	0.0210526315789474	0	0.0175438596491228	0	0.00701754385964912	0.00350877192982456	0.00350877192982456	0.00701754385964912	0	0	0	0	0	0.0105263157894737
61	0	0	0	0	0	0	0	0	0	0	0	0.00343642611683849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00343642611683849	0.00687285223367698	0.0446735395189003	0	0.0171821305841924	0	0	0	0	0
62	0	0	0.0125523012552301	0	0	0	0	0	0	0	0	0.00418410041841004	0	0	0	0	0	0	0	0	0	0	0	0.00418410041841004	0	0.0125523012552301	0	0.00836820083682008	0	0.0251046025104603	0	0	0	0	0	0	0.00418410041841004
63	0.00383141762452107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00383141762452107	0	0	0	0	0
64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00392156862745098	0	0.00392156862745098	0	0	0	0	0	0.105882352941176	0	0.0156862745098039	0	0	0	0	0
65	0	0	0	0	0	0	0	0	0	0	0.117647058823529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00784313725490196	0	0.0823529411764706	0	0.0156862745098039	0	0	0	0	0
66	0	0	0.00392156862745098	0	0	0	0	0	0	0	0	0	0	0.00392156862745098	0	0	0	0	0	0	0	0	0	0	0	0	0.00392156862745098	0	0	0.0196078431372549	0	0.0117647058823529	0	0	0	0	0
67	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0119047619047619	0	0	0	0	0	0	0	0.00396825396825397	0	0	0	0	0	0.00396825396825397	0	0.0793650793650794	0	0.0119047619047619	0	0	0	0	0.00396825396825397
68	0	0	0	0	0	0	0	0	0	0	0.00387596899224806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0155038759689922	0.062015503875969	0	0	0	0	0	0	0
69	0	0	0.0105263157894737	0	0	0	0	0	0	0	0.182456140350877	0.0245614035087719	0	0.0210526315789474	0	0	0	0	0	0	0	0	0	0	0	0.0105263157894737	0	0.0491228070175439	0.0280701754385965	0.0701754385964912	0	0.00350877192982456	0	0	0	0	0
70	0	0	0	0	0	0	0	0	0	0	0.00826446280991736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00413223140495868	0	0.0206611570247934	0.00826446280991736	0.0578512396694215	0	0.00826446280991736	0	0	0	0	0.00826446280991736
71	0.0167364016736402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0167364016736402	0	0	0	0	0.00418410041841004	0	0	0	0	0.00418410041841004
72	0	0	0.00383141762452107	0	0	0	0	0	0	0	0.053639846743295	0.0153256704980843	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0306513409961686	0	0.0996168582375479	0	0.0957854406130268	0	0.00766283524904215	0	0	0	0	0
73	0	0	0	0	0	0	0	0	0	0	0.0431372549019608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00392156862745098	0.152941176470588	0	0.00784313725490196	0	0	0	0	0
74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0352941176470588	0	0.0156862745098039	0	0	0	0	0
75	0	0	0	0	0	0	0	0	0	0	0.101960784313725	0.00392156862745098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0196078431372549	0	0.180392156862745	0	0.0117647058823529	0	0	0	0	0
76	0	0	0.00392156862745098	0	0	0	0	0	0	0	0.0745098039215686	0.00392156862745098	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00392156862745098	0	0.0274509803921569	0.00392156862745098	0.0588235294117647	0	0.00392156862745098	0	0	0	0	0
