"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"
"69"	0	0	1	4	11	8	17	25	9	4	0	0	2	1	10	9	10	6	31	13	0	7	1	1	14	8	10	33	35	6	0	0	6	1	20	22	11	18	36	6	0	0	1	6	6	4	39	22	16	9
"70"	0	0	3	1	3	19	23	13	22	1	0	0	6	2	0	13	27	46	20	0	0	4	0	8	0	4	14	21	21	7	0	0	3	2	4	4	22	0	44	6	0	0	1	6	16	23	28	36	22	5
"71"	0	8	4	7	16	13	2	4	3	1	0	0	9	6	24	21	33	16	0	0	0	0	2	11	11	29	35	6	16	0	0	3	4	21	36	22	8	7	2	0	0	2	1	16	30	48	6	10	3	1
"72"	0	7	20	2	24	43	11	17	0	2	0	1	31	16	37	24	6	2	0	0	1	0	2	12	4	21	1	0	3	0	0	3	7	26	34	22	0	0	0	0	2	0	4	14	34	47	3	6	0	2
"73"	0	0	0	0	5	11	14	29	20	12	0	0	0	0	13	16	25	25	0	16	0	0	0	0	27	19	36	24	13	0	0	0	0	8	14	6	5	9	9	2	0	0	0	4	3	25	26	63	6	15
"74"	0	0	8	22	25	21	8	7	4	3	0	1	0	13	34	36	28	4	2	0	0	0	1	0	10	47	8	10	3	1	0	0	11	2	18	24	10	9	22	1	0	0	0	25	12	34	24	10	2	0
"75"	0	0	1	12	20	23	19	10	3	5	0	0	2	4	11	38	38	27	0	0	0	0	0	0	8	45	21	9	0	0	0	0	2	1	11	23	17	9	17	0	0	0	0	6	32	12	10	19	0	0
"76"	0	0	2	3	17	6	63	16	1	8	0	0	7	9	6	11	25	19	5	0	0	0	2	5	14	53	27	11	0	4	0	0	0	0	11	17	21	12	9	1	0	2	0	10	26	6	30	16	24	1
"77"	10	14	3	20	15	10	8	4	0	2	5	14	9	18	5	12	15	13	12	4	0	0	4	9	20	15	23	4	1	1	0	1	6	11	25	22	16	6	2	0	7	6	14	21	20	37	17	7	0	5
"78"	2	1	23	24	13	18	3	13	0	7	5	0	8	43	9	13	0	1	7	0	2	6	10	19	26	9	9	1	0	4	0	17	24	19	17	13	2	7	0	0	0	12	17	39	6	25	5	21	0	0
"79"	0	5	27	18	13	26	2	0	0	0	20	0	15	21	21	12	0	0	1	0	0	5	14	26	29	6	3	2	0	0	0	0	24	28	20	10	1	5	0	0	0	10	48	32	19	7	1	0	0	0
"80"	0	7	6	28	14	15	45	8	5	2	2	7	11	10	19	0	5	5	5	0	0	1	0	20	30	17	0	4	2	0	0	0	13	15	35	20	16	0	3	0	4	0	19	24	26	17	14	1	4	0
"81"	0	0	0	4	17	1	33	18	18	23	0	2	0	0	0	6	8	20	11	9	0	0	0	3	10	16	7	17	10	20	0	0	4	1	5	11	35	20	23	1	0	0	0	7	6	12	56	28	13	6
"82"	0	0	0	0	0	5	16	31	15	9	0	0	0	6	7	37	13	19	27	9	0	0	0	0	0	20	7	36	18	10	0	0	0	0	16	20	19	29	19	0	0	0	0	7	6	17	10	39	24	9
"83"	0	6	2	10	8	25	8	1	4	0	4	0	3	13	19	38	14	18	1	6	0	0	1	18	9	32	25	12	11	3	0	0	4	1	13	15	13	2	10	5	0	0	8	20	11	37	7	6	6	5
"84"	0	5	5	11	23	14	0	2	2	0	2	5	6	44	31	15	0	4	0	2	5	8	21	8	30	37	7	1	2	0	8	1	7	24	27	28	6	0	0	0	14	3	7	24	29	17	9	6	0	0
"85"	0	0	0	6	3	17	12	7	10	16	0	0	0	0	38	43	14	20	1	2	0	0	0	7	37	40	25	20	6	0	0	0	3	16	3	35	9	4	8	0	0	0	0	5	8	57	13	7	8	0
"86"	0	0	0	3	16	25	18	19	0	0	0	0	0	0	10	30	42	5	0	0	0	0	0	9	19	41	22	13	4	0	0	0	2	12	40	19	28	0	0	3	0	0	5	8	23	16	25	33	9	1
"87"	0	0	5	43	25	17	19	11	0	5	0	0	9	16	14	20	21	19	2	0	0	0	4	7	10	24	22	1	1	0	0	0	6	13	11	23	21	1	0	0	0	0	6	20	20	46	9	13	16	0
"88"	0	0	2	11	16	25	1	2	2	0	0	1	11	0	22	21	26	3	2	0	0	8	10	6	12	28	19	2	2	3	4	1	5	11	16	16	10	10	1	0	0	8	4	19	21	19	23	1	1	0
"89"	0	6	1	17	30	0	18	2	3	0	2	20	16	7	15	13	6	1	0	0	6	4	8	36	38	33	4	1	4	0	1	15	17	24	18	7	12	5	1	0	0	15	14	21	17	18	10	1	0	0
"90"	2	8	7	27	31	4	1	3	0	0	2	6	19	11	8	20	8	0	0	4	15	14	1	34	13	8	2	0	0	0	0	9	29	35	6	17	1	11	0	0	1	26	10	44	42	12	8	1	0	0
"91"	0	0	13	22	12	30	3	1	0	0	1	3	8	17	14	31	1	0	2	2	0	0	9	15	20	6	4	3	0	0	0	3	20	20	6	39	23	3	5	0	0	7	10	14	32	14	18	21	0	0
"92"	0	1	9	9	17	10	24	22	9	1	0	0	13	1	19	27	32	3	22	7	0	0	23	7	23	21	19	5	1	0	0	0	5	14	8	12	10	8	3	1	1	0	0	16	20	14	18	17	3	7
"93"	0	0	8	6	5	9	38	25	23	0	0	0	2	0	8	8	9	23	4	11	0	0	0	10	24	23	11	29	7	6	0	2	6	0	0	3	31	23	15	6	0	0	6	6	8	9	27	19	31	19
"94"	0	0	4	2	2	0	17	22	24	3	0	0	3	3	12	4	34	20	27	13	0	0	0	0	3	14	15	28	32	7	0	0	0	8	3	11	28	26	17	5	0	0	0	1	0	9	14	24	20	13
"95"	0	0	0	12	3	11	15	22	7	3	1	2	8	18	31	18	27	14	16	1	0	0	0	4	16	14	41	11	3	0	0	0	5	13	19	17	22	10	2	12	0	0	10	1	9	38	2	12	9	11
"96"	0	8	5	7	19	23	8	0	7	0	1	7	9	46	16	14	11	0	2	0	1	0	0	8	17	9	19	1	4	0	2	0	8	17	17	31	0	5	0	0	0	4	43	21	36	21	12	3	0	1
"97"	0	3	0	19	14	20	25	0	3	3	0	0	0	16	28	13	3	10	4	1	0	0	1	5	30	8	22	8	0	0	0	0	9	13	14	30	22	9	3	0	0	0	0	5	23	39	8	8	0	0
"98"	0	0	5	16	18	8	18	4	0	0	0	1	5	6	22	37	14	6	0	0	0	3	0	14	44	12	8	6	0	0	0	0	12	6	33	19	7	4	7	0	0	0	5	23	37	32	13	11	0	3
"99"	0	6	1	21	28	5	3	5	0	0	1	11	2	13	6	27	17	3	0	0	0	3	16	20	30	35	19	11	0	2	4	6	6	38	17	22	0	4	1	0	0	10	11	12	19	21	15	4	1	0
"100"	0	5	19	23	7	8	5	2	3	0	0	13	39	16	8	13	1	0	0	0	3	15	23	27	14	5	1	10	0	0	2	17	38	32	4	22	5	0	0	0	3	10	16	33	34	16	2	0	6	0
"101"	15	22	6	2	11	0	22	0	0	0	1	41	48	9	2	7	0	0	0	0	2	19	22	42	6	2	4	0	0	0	7	29	51	15	4	2	1	0	3	0	6	28	28	9	24	10	0	0	0	0
"102"	15	4	20	12	3	8	13	2	3	0	1	16	36	11	24	17	7	5	0	0	3	6	3	20	12	2	11	9	0	0	2	20	11	14	31	12	11	3	9	0	4	22	10	20	23	15	8	0	0	0
"103"	0	14	1	0	6	25	10	19	5	6	6	3	7	0	10	16	27	8	5	0	0	10	3	8	9	20	23	26	5	0	0	1	0	9	15	19	27	14	22	3	2	0	6	12	14	39	8	35	2	0
"104"	0	0	0	0	5	10	25	31	6	9	3	0	6	3	13	30	10	3	11	3	0	0	0	0	26	7	33	40	10	0	0	0	16	0	4	3	42	25	10	1	0	1	0	2	12	7	23	12	6	11
"105"	0	1	0	0	22	2	28	25	7	5	0	0	0	0	2	6	10	33	6	12	0	0	0	1	17	4	16	20	17	14	0	0	0	0	5	11	49	28	22	9	0	0	0	4	1	12	20	27	31	8
"106"	0	0	0	0	0	7	19	20	27	21	0	0	0	0	1	1	28	19	32	31	0	0	0	2	8	1	5	24	20	8	0	0	0	4	7	6	12	14	15	26	0	0	0	0	6	14	19	27	46	30
"107"	0	0	1	1	21	24	5	4	5	5	0	2	3	14	11	14	34	7	13	3	0	0	0	19	3	10	25	11	9	0	2	0	3	3	23	27	22	19	19	4	0	0	6	2	13	16	15	7	35	13
"108"	0	2	14	8	28	24	7	4	1	0	0	9	1	6	46	40	17	2	9	1	1	1	0	17	6	50	6	3	5	0	6	3	1	14	18	24	1	1	6	3	0	0	4	24	36	22	15	6	3	4
"109"	0	3	0	21	9	43	18	0	0	0	0	0	0	1	39	40	2	6	0	0	0	0	0	3	45	9	14	7	0	4	0	2	0	7	22	41	5	6	0	0	0	1	2	20	44	50	2	2	1	0
"110"	0	0	11	37	17	16	13	0	1	0	0	3	1	6	10	37	17	0	0	0	2	0	0	9	14	20	17	1	2	0	0	2	9	33	61	17	6	1	0	8	1	3	8	21	21	56	11	2	0	0
"111"	3	8	12	18	17	11	13	0	0	0	1	5	21	36	15	18	9	2	0	0	1	1	6	10	26	16	9	0	0	0	1	4	18	15	27	19	11	0	0	0	0	10	29	37	41	28	2	0	0	0
"112"	18	25	16	19	3	13	5	0	0	0	5	17	18	28	3	0	0	0	0	0	11	28	25	26	14	2	1	0	2	0	10	8	26	19	11	5	6	4	0	0	4	27	30	37	7	14	0	0	0	0
"113"	10	46	11	17	7	0	0	0	0	0	18	16	18	22	2	9	0	0	0	0	10	34	49	15	9	1	1	0	0	0	13	18	46	24	4	1	3	0	0	0	5	41	16	21	3	1	0	1	0	2
"114"	4	11	23	12	11	26	0	5	1	0	2	1	15	21	25	44	10	1	0	0	3	8	4	34	18	18	16	9	3	1	3	4	18	21	7	6	7	0	10	0	1	18	3	24	7	30	6	9	0	0
"115"	0	1	2	4	14	20	15	11	5	5	0	2	1	2	3	44	23	6	3	4	0	0	3	0	12	44	29	29	8	3	0	0	2	2	9	17	33	16	9	5	0	0	4	4	14	13	25	27	27	0
"116"	0	0	0	3	10	11	13	10	23	10	0	0	0	0	0	9	26	21	10	15	0	0	0	0	4	7	26	51	13	0	0	0	0	0	4	9	11	17	11	1	0	0	0	0	4	16	7	68	31	1
"117"	0	0	0	1	6	9	15	33	24	3	0	0	0	0	0	4	19	13	14	12	0	0	0	0	7	11	22	39	15	3	0	0	0	0	6	6	30	23	25	7	0	0	0	0	15	11	46	21	23	6
"118"	0	0	0	0	8	21	3	22	20	5	0	0	0	4	1	3	17	15	24	19	0	0	0	1	6	24	21	22	9	16	0	0	0	1	0	33	16	27	7	26	0	0	0	0	2	16	34	12	53	12
"119"	0	0	1	2	17	27	11	18	10	6	0	0	2	17	4	4	22	11	8	3	0	1	0	12	2	7	43	8	12	0	0	0	0	0	13	39	48	8	20	3	0	0	5	4	13	28	12	53	5	1
"120"	0	1	5	0	10	31	10	15	2	1	0	0	0	5	29	23	47	9	3	17	5	0	0	16	4	35	26	9	2	0	0	0	0	3	29	16	19	12	3	0	0	0	9	0	4	18	24	13	5	0
"121"	0	7	0	2	17	42	24	0	0	3	0	0	3	13	12	30	11	3	0	0	0	0	0	10	26	39	23	3	0	1	0	0	0	7	17	44	6	1	0	0	0	4	3	4	13	43	13	3	0	0
"122"	0	0	0	2	10	22	21	14	0	0	0	0	4	19	1	19	6	6	0	0	0	0	0	8	19	14	37	5	0	1	0	0	11	19	26	38	11	3	0	6	0	0	2	7	25	96	31	5	0	0
"123"	0	2	8	10	9	19	17	10	0	0	2	1	5	26	32	15	13	2	0	0	0	2	1	16	5	14	8	0	0	0	1	4	6	11	36	22	16	0	0	0	0	5	19	29	35	44	8	15	0	4
"124"	0	27	25	15	28	3	0	0	0	0	8	9	17	11	0	1	0	0	0	0	12	42	18	28	7	0	0	0	0	0	2	39	12	37	14	0	2	0	1	0	4	45	12	35	16	7	4	0	0	8
