p10	vegtype	relev	aspect	slope	elev	convex	row	column
255	3	6	75	21.8	318	-0.45 	9	15
256	3	9	75	26.57	322	-1.37 	9	16
257	3	12	75	26.57	325	0.14 	9	17
258	2	16	105	33.69	328	0.55 	9	18
259	2	16	135	33.69	329	0.01 	9	19
260	2	20	155	33.69	328	-0.47 	9	20
261	1	18	145	26.57	327	-0.14 	9	21
262	2	17	165	26.57	325	-0.40 	9	22
263	2	17	135	14.04	324	-0.85 	9	23
264	2	18	115	14.04	325	0.04 	9	24
265	1	19	135	11.31	326	0.66 	9	25
266	1	19	135	11.31	326	0.71 	9	26
267	1	19	155	15.95	326	0.62 	9	27
268	1	19	165	15.95	324	0.10 	9	28
269	2	16	175	14.04	322	-0.04 	9	29
270	2	14	175	12.53	321	-0.72 	9	30
271	1	24	135	18.43	339	2.48 	10	1
272	1	21	135	18.43	336	0.64 	10	2
273	2	18	145	26.57	332	0.43 	10	3
274	3	16	135	12.53	331	-0.16 	10	4
275	3	16	15	12.53	331	1.29 	10	5
276	2	17	65	10.3	332	1.91 	10	6
277	2	16	95	14.04	331	0.93 	10	7
278	2	14	115	11.31	329	0.67 	10	8
279	2	12	115	11.31	327	1.01 	10	9
280	2	10	115	18.43	325	1.34 	10	10
281	3	8	115	15.95	323	1.19 	10	11
282	3	6	115	15.95	321	2.03 	10	12
283	3	2	115	33.69	318	0.19 	10	13
284	4	0	25	9.46	317	-0.77 	10	14
285	3	2	75	12.53	317	-1.46 	10	15
286	3	4	75	26.57	320	-2.98 	10	16
287	3	8	85	21.8	323	-1.65 	10	17
288	3	12	115	3.81	325	-1.14 	10	18
289	2	12	135	3.81	325	-1.21 	10	19
290	2	14	155	3.81	325	-1.39 	10	20
291	2	14	165	3.81	324	-1.12 	10	21
292	2	16	155	7.59	324	-1.30 	10	22
293	2	16	135	7.59	324	-1.17 	10	23
294	1	16	115	7.59	324	-0.78 	10	24
295	1	16	135	11.31	324	-1.07 	10	25
296	1	16	145	18.43	323	-1.31 	10	26
297	1	15	155	18.43	323	-1.28 	10	27
298	2	14	165	10.3	322	-1.20 	10	28
299	1	14	165	10.3	321	-0.92 	10	29
300	1	12	175	15.95	318	-1.75 	10	30
