	type_of_food
recipe_1095	Pastries
recipe_1096	Pastries
recipe_1097	Pastries
recipe_1098	Pastries
recipe_1099	Pastries
recipe_1100	Pastries
recipe_1101	Pastries
recipe_1102	Pastries
recipe_1103	Pastries
recipe_1104	Pastries
recipe_1105	Pastries
recipe_1106	Pastries
recipe_1107	Pastries
recipe_1108	Pastries
recipe_1109	Pastries
recipe_1110	Pastries
recipe_1111	Pastries
recipe_1112	Pastries
recipe_1113	Pastries
recipe_1114	Pastries
recipe_1115	Pastries
recipe_1116	Pastries
recipe_1117	Pastries
recipe_1118	Pastries
recipe_1119	Pastries
recipe_1120	Pastries
recipe_1121	Pastries
recipe_1122	Pastries
recipe_1123	Pastries
recipe_1124	Pastries
recipe_1125	Pastries
recipe_1126	Pastries
recipe_1127	Pastries
recipe_1128	Pastries
recipe_1129	Pastries
recipe_1130	Pastries
recipe_1131	Pastries
recipe_1132	Pastries
recipe_1133	Pastries
recipe_1134	Pastries
recipe_1135	Pastries
recipe_1136	Pastries
recipe_1137	Pastries
recipe_1138	Pastries
recipe_1139	Pastries
recipe_1140	Pastries
recipe_1141	Pastries
recipe_1142	Pastries
recipe_1143	Pastries
recipe_1144	Pastries
recipe_1145	Pastries
recipe_1146	Pastries
recipe_1147	Pastries
recipe_1148	Pastries
recipe_1149	Pastries
recipe_1150	Pastries
recipe_1151	Pastries
recipe_1152	Pastries
recipe_1153	Pastries
recipe_1154	Pastries
recipe_1155	Pastries
recipe_1156	Pastries
recipe_1157	Pastries
recipe_1158	Pastries
recipe_1159	Pastries
recipe_1160	Pastries
recipe_1161	Pastries
recipe_1162	Pastries
recipe_1163	Pastries
recipe_1164	Pastries
