	Adinform	Alnipter	Ardiquin	Ardisieb	Astrferr	Beileryt	Beiltsan	Bridbala	Cameheng	Castcarl	Caststel	Cinnrigi	Cleyjapo	Crypchin	Cyclcham	Cycllong	Cyclpach	Daphglau	Decagrac	Dioseria	Elaesylv	Engeroxb	Euryhaya	Euryjapo	Evodmeli	Evodmerr	Ficufist	Garcmult	Glocrubr	Gloczeyl	Gordaxil	Heliform	Ilexcoch	Ilexmats	Ilexrotu	Ilextrif	Ilexurai	Illiarbo	Lithamyg	Litsacut	Machobov	Machthun	Machzuih	Magnkach	Mallpani	Melisqui	Michcomp	Micrjapo	Myrssequ	Neolbuis	Neolhiir	Osmamarg	Pasabrev	Pasaform	Pithluci	Podophil	Prunphae	Sapidisc	Sauroldh	Scheocto	Schisupe	Sloaform	Sympglom	Sympshil	Symptheo	Syzybuxi	Syzyeuph	Terngymn	Tricdubi	Wendform	Antihiir	Ardicorn	Callremo	Callremo.1	Clercyrt	Euonacut	Lasicyan	Lasiobli	Melacand	Psycrubr	Rhapindi	Rhodsims	Taregrac	Wikstaiw
108	0	0	0.5	0	0.5	2.799999952	2.5	0.600000024	1.100000024	26.70000076	0	0	0	0.5	0	0	0	3.900000095	0	1.100000024	3.099999905	0	0	0	0	0	0.5	2.400000095	0	0.699999988	0	0	8.699999809	2.099999905	0	0	1.399999976	8.100000381	0	2.200000048	0	0.100000001	0	0.600000024	0	0	0	0.5	0	0	2.599999905	5.599999905	0	0	0	0.5	0.5	0	0	0.5	0	0	0	1.899999976	1.600000024	0	1.700000048	0.600000024	5.199999809	0	0.100000001	0.5	0	0	0	0.5	0	0.5	0	4.5	0	0	0	0
121	0	0	0	0	0	6.199999809	4.099999905	0	0	0	0	0	0	0	0	0	0	7.5	3.400000095	0.899999976	2.299999952	0	0	0	0	0	0	0	0.200000003	0	0	1.100000024	14.60000038	0.899999976	0	0	4.400000095	8.5	3.400000095	2.400000095	0	0.600000024	0	1.100000024	0	0	3.200000048	0	0	0	0	0	0	0	0	0.899999976	0	4.300000191	0	12.69999981	0	0	0.600000024	0	3.099999905	0	0	0	0	0	0.600000024	0	0	0	0	0	0.5	0.5	0	1	0	0	0.5	0
122	1.600000024	0	1.600000024	0	0	0.600000024	0	0	0	32.79999924	0	0	0	0	0	0.200000003	0	0.200000003	0	1.5	0.5	0	0	0	0	0	0	0	0	0	0	0	8.199999809	0.5	0	0	4.5	9.600000381	0	1.600000024	0	0	0	0	1.5	0	0	0	0	0	0.5	0	0	0	0	0.5	0.5	0.5	0	0.5	0	0.5	0	0	7.5	0	0	0	0.5	0	0.100000001	0.100000001	0	0	0.100000001	0	0.5	0.5	0	16.5	0	0	0	0
125	0.200000003	0	0	0	0	0	0.200000003	0	2.599999905	2.400000095	0	0	1.200000048	0	17.60000038	0	0.400000006	3.400000095	0	0	0	0	9.899999619	0	0	0	0	0.200000003	0	0	0.5	0	0.5	6.699999809	0	4.300000191	0.5	5.400000095	0	0	0	0	0	0.200000003	0	0	0	8.199999809	1.600000024	2.900000095	0.200000003	0.400000006	0	0.200000003	0	0.800000012	0	0	0	0	0.400000006	0	0.100000001	0.100000001	0.600000024	6.699999809	0	0.699999988	0	0	0.5	0	0	0	0	0	0	0	0	0	13.30000019	0.800000012	0	0.899999976
127	0	0	0	0	7.300000191	0	1.100000024	0	0	1.200000048	0	0	0	0	0.800000012	0	0	0.800000012	3.099999905	0.699999988	10.10000038	0	2.200000048	0	0	0	0	0	1.5	0	0.600000024	0	3.900000095	0.600000024	0	3.5	1.299999952	12.89999962	1.399999976	0.800000012	0	0.800000012	0	0	1.299999952	0	0	2.599999905	0	0	0	1.399999976	0	0	0	0	0	0.300000012	0	0.699999988	2.099999905	0	0.100000001	0	3.099999905	0.699999988	0.600000024	0	0	0	0	0	0	0	0	0	0	0	0	2.099999905	12.60000038	0	0.699999988	0.699999988
131	0	0	1.299999952	0.600000024	3.200000048	0	0.699999988	0	0	0	0	0	0	0	0.600000024	0.600000024	0	5.5	0.699999988	0	7.900000095	0	0	0	0	0	0	0	0	0	0	3.099999905	4.400000095	0	0	0	5.400000095	1.399999976	4.900000095	0.600000024	0	0	0	0	1.799999952	0	0	0	0	0	1.799999952	0	0	0	0	0.600000024	0.600000024	0	0	0	0.800000012	0	0.600000024	0	5.599999905	0	0.600000024	0	0	2.5	1.299999952	0	2.599999905	0.600000024	3.799999952	0.600000024	0.600000024	1.299999952	15.39999962	1.299999952	0	0	0	0
133	0.899999976	0	2.400000095	1.600000024	0.899999976	3.5	0.800000012	0	0	0	1.600000024	0	0	1.100000024	0	1.700000048	0	2.5	1.600000024	0	0	0	0	1.899999976	0	2.400000095	4.800000191	0	0	0	0	3.900000095	0	0	0	0	0	0	0	1.600000024	0	1.600000024	0	0	0	0	0	0	0	0	0	0	0	0	4.900000095	0	0	0	0	25.29999924	0.200000003	0	0	0	0	0	1.700000048	0	0	3.599999905	0	0	0.800000012	0	0	0	0	0.800000012	0	8.5	0	0	0	0
134	6.300000191	3.900000095	1.299999952	0	2.099999905	0.699999988	12.10000038	0	0	1.299999952	0	0	0	0	0	0.600000024	9.600000381	2.900000095	0.600000024	0.800000012	0	0.699999988	0	0	1.100000024	0.200000003	0.600000024	0	0	0.600000024	0	1.899999976	5.5	0	0	0	2.099999905	0.699999988	0	0.899999976	0	0.699999988	0	0	0	0	0	0	0	0	0	0	0	0	2.799999952	0	1.299999952	13.69999981	0.600000024	6.400000095	0.600000024	0	0	0	1.299999952	0	1.299999952	0	0.800000012	1.700000048	0	0	0	1.299999952	0	0	1.299999952	1.299999952	0	6.5	0	0	0	0
135	0.300000012	0	0.200000003	1.100000024	1.399999976	10.60000038	0	0.5	0	17.60000038	0.699999988	0	0	0	0	1.600000024	0	4.699999809	0.5	2.400000095	0	2.700000048	0	1.200000048	0	1.100000024	0	1.5	0.5	0	0	0.5	7.400000095	0	0	0.5	4.199999809	0.600000024	0	0	2.5	0	0	3.5	0	0	0	0	0	0	0	0.100000001	0	0	0.200000003	0.600000024	5.300000191	0	0.5	4.900000095	0	0	0	0.600000024	0.5	0	1.399999976	0	0.5	1.799999952	0.200000003	0	0.5	0.100000001	0	0	0	0	0	3.799999952	0	0	0	0
137	0.300000012	0	2.099999905	0.800000012	0	0	3.900000095	1.5	0	14.10000038	0	0	0	0	0	3.5	0	1.600000024	0	2.400000095	0	0	0	0	0	0.699999988	0.699999988	2.200000048	0	0.699999988	0	1.399999976	9.300000191	0	0	0	2.900000095	0	0	1.399999976	0	1.299999952	0.699999988	0	0	0	0.699999988	0	0	0	2.599999905	1.399999976	0	0	0	1.5	0.699999988	0	0	15.39999962	0	0.699999988	0	0	0	0	6.5	4.5	1.399999976	2.400000095	0	0	0	0	0	0	1.399999976	0	0	6.400000095	0	0	0	0
